fan,view,video,isOffice
319000,106460633,210,0
319000,37324566,844,1
317000,65121763,1131,1
316000,29921988,685,0
316000,28408904,254,1
314000,37721601,664,0
314000,20349915,402,0
314000,2040132,19,0
312000,77659569,901,1
311000,78436021,549,1
310000,73656178,170,1
310000,37291376,741,1
307000,62105913,872,1
306000,14226559,221,0
305000,96620984,1964,0
305000,28597903,346,1
305000,3416991,57,1
304000,170978875,344,1
302000,65022749,515,0
301000,51831592,285,0
300000,132865145,1196,0
300000,28200999,1451,1
298000,95083023,860,1
298000,6675446,266,1
295000,22755753,180,0
294000,149811016,460,1
291000,131125464,1596,0
291000,43432314,1189,1
291000,22667284,406,1
290000,37759331,662,1
290000,15843895,717,1
289000,4031255,111,0
288000,48952153,132,1
288000,5276899,84,0
287000,140622404,405,1
287000,45490649,836,1
284000,26600839,473,1
282000,32938096,945,1
282000,25217970,718,1
281000,43663563,903,1
281000,37801824,168,0
280000,94351894,114,0
280000,38867651,71,0
278000,135476068,515,1
278000,56448713,1555,0
275000,116701478,37,0
275000,39425325,298,0
274000,26237961,214,0
274000,6081172,32,1
273000,9015638,95,0
271000,27131295,200,1
271000,25878628,149,0
269000,176225967,551,0
269000,9102878,129,1
269000,7800567,685,0
266000,168445669,540,1
266000,23936112,802,1
264000,62346655,503,1
263000,67102562,112,1
262000,22443560,594,1
261000,17007984,151,0
260000,105742654,5269,0
260000,29324627,845,1
259000,9054852,352,0
255000,5447479,168,1
254000,17536839,560,0
254000,9625691,296,1
253000,160786996,2090,0
251000,95975554,157,1
251000,14667526,153,0
250000,87739923,265,0
249000,114463941,993,0
249000,43661636,370,1
249000,5911667,722,0
248000,40086312,1829,1
248000,37828693,1589,1
247000,16387358,388,1
246000,141821919,298,0
245000,22625649,271,1
245000,11506498,50,0
244000,13437775,17,0
242000,65558604,552,1
241000,109049033,350,1
238000,17856478,251,0
237000,52619761,270,1
237000,10813509,256,0
236000,31629126,455,0
235000,24483253,435,1
235000,19274803,313,1
234000,26481009,677,1
234000,14483234,111,0
233000,40959500,1202,1
233000,36048678,327,0
232000,64457213,132,1
231000,27328152,731,1
231000,19696169,773,1
231000,15951900,221,1
230000,9615479,396,0
229000,66595960,152,1
229000,23439426,209,0
228000,41258571,153,1
227000,58542597,1060,1
227000,13093781,307,1
227000,5931638,165,0
227000,3457914,400,0
226000,34509063,349,1
226000,8656482,157,1
225000,49660120,115,1
222000,111145359,2008,0
222000,7897287,141,1
220000,25176715,1857,1
220000,19270727,791,1
219000,43771217,1630,1
219000,28647284,880,1
219000,25921665,948,1
219000,19830744,373,0
219000,11502129,620,1
219000,9992580,422,0
218000,83887270,389,0
218000,25613451,1067,1
218000,15486486,271,1
218000,14243544,254,0
217000,22832749,262,0
217000,10110335,261,1
216000,6321487,443,0
215000,13834127,594,0
215000,12915529,298,0
215000,3378698,183,1
214000,107759792,1025,1
212000,10056394,622,1
212000,9009125,65,0
211000,15807881,182,0
210000,20345591,459,1
209000,16062430,49,0
209000,12212279,317,1
209000,8009885,85,0
208000,24089073,984,1
208000,21223618,1401,1
208000,15747439,373,1
207000,29338468,675,1
205000,83389008,153,0
205000,69806339,176,1
205000,31829886,556,0
205000,29340212,209,0
205000,12442981,681,1
205000,5811959,139,0
204000,31598368,189,0
204000,13389051,521,1
204000,13201377,98,0
204000,10054462,257,1
204000,666254,14,1
203000,47887531,110,1
202000,10294724,556,1
202000,5375383,42,0
201000,14655491,305,1
200000,16277947,488,1
200000,1221412,16,0
199000,1952219,32,0
197000,86923916,142,0
195000,57575178,159,1
195000,28077524,586,0
194000,22949556,196,1
194000,11575079,39,1
193000,139259257,378,0
193000,14529427,277,1
192000,136417545,450,1
192000,32965774,1525,0
192000,18443274,689,1
192000,9137744,429,1
192000,8455673,188,1
191000,52273524,476,0
191000,37361625,844,1
191000,15092214,260,1
189000,35381554,131,0
189000,16463976,271,0
188000,20476935,784,1
188000,17000014,2183,1
188000,14178800,236,0
186000,25388617,422,0
185000,120235994,199,0
185000,17855880,59,0
184000,11351770,520,1
184000,8578791,213,0
183000,14104977,55,0
182000,41018276,223,1
182000,34637513,456,0
182000,14105790,244,0
182000,9875511,316,1
181000,34066624,1367,1
179000,47353905,876,0
179000,31648468,1061,1
179000,23537394,153,1
179000,6595968,789,1
178000,39340445,805,0
178000,13202413,648,1
176000,11306558,595,1
175000,25252305,759,0
174000,11592504,530,1
173000,154037491,4470,0
173000,12759082,680,1
173000,4679980,162,1
172000,12794893,276,1
172000,4736752,131,1
171000,70907709,852,0
171000,15580395,574,1
170000,37694088,1241,1
169000,38750595,221,0
169000,29558270,70,0
168000,11574976,105,1
168000,10727255,166,0
168000,8470429,795,1
166000,103216380,209,0
166000,10695861,85,0
165000,21859113,73,1
165000,9792552,97,0
164000,40700362,415,0
164000,23758024,189,0
164000,14280061,1078,1
164000,5476183,328,1
163000,13408666,131,1
162000,59284173,545,1
161000,59720962,698,0
161000,48315000,678,0
161000,7439632,402,0
159000,6345138,157,0
158000,29406109,1981,1
157000,30786824,649,1
157000,14572035,160,0
156000,19602372,637,1
156000,6424555,644,1
155000,15770221,963,1
155000,3949295,45,1
155000,2938705,32,0
154000,14542012,235,1
153000,25316193,870,0
152000,147912180,621,0
152000,17036277,752,1
152000,9193112,306,0
152000,7972085,309,1
151000,9387033,196,0
151000,8135341,170,0
151000,7119232,105,0
150000,4416705,37,0
149000,23157200,17,1
149000,17847514,810,0
149000,10534797,248,1
149000,9143687,89,0
148000,138773430,858,0
148000,30355251,741,0
148000,27844045,361,0
148000,18541645,190,0
148000,7749684,355,1
148000,2745579,106,0
147000,103236741,1659,0
147000,22174694,180,0
147000,17032283,383,1
147000,10631998,61,0
147000,10599808,10,1
147000,5013976,40,0
147000,2034409,6,0
146000,27077606,94,0
146000,16089133,982,0
145000,55039207,2304,0
145000,32319391,67,0
145000,21162093,281,0
145000,5845676,199,0
144000,8422485,193,1
143000,40691915,1277,0
143000,3989973,34,1
142000,9403910,342,0
142000,6436569,39,0
142000,6368219,872,1
142000,5194713,28,0
141000,65428271,1542,0
141000,15081155,217,0
141000,10629264,538,1
140000,37643434,926,0
140000,10812356,731,1
140000,9209898,733,1
140000,4932864,289,0
140000,2029070,162,1
139000,18378777,274,0
139000,10999448,192,0
138000,29244859,1124,1
138000,10935723,364,1
138000,7889753,89,0
137000,40027474,1228,0
137000,13949962,244,0
137000,13849296,531,1
136000,40342278,259,0
136000,14650644,410,1
136000,6815166,458,1
135000,26627134,619,0
135000,8584819,1089,1
134000,42247698,293,0
134000,8757828,116,0
134000,4324295,231,1
134000,732230,44,0
133000,90724892,2780,0
133000,29927312,408,0
133000,11898766,814,1
133000,7403741,283,1
133000,4509207,248,0
132000,51684868,371,0
132000,25516300,159,1
132000,7763756,367,0
131000,38540308,802,0
131000,15632515,115,1
131000,10248592,238,0
130000,18696241,493,0
130000,16377615,745,0
130000,13296641,139,1
130000,7579707,740,0
130000,5133205,548,1
129000,28666385,245,0
129000,13364173,249,1
129000,10396281,625,0
129000,8173747,286,1
128000,32710915,464,0
128000,13779666,1287,1
128000,787347,27,0
127000,14266011,170,0
127000,10535976,525,1
126000,22844322,622,1
126000,12360373,220,0
126000,10729482,2761,1
126000,3843773,188,1
125000,15487531,56,1
125000,14163877,462,1
124000,60808780,628,0
124000,12844361,1242,0
124000,4826735,166,1
124000,3660152,322,0
123000,32902338,759,1
123000,24051658,506,1
123000,18481956,45,0
123000,5600693,62,0
123000,4737916,83,0
122000,12795597,544,0
122000,4645834,59,1
122000,4616210,362,1
122000,3686381,109,0
121000,39736738,135,0
121000,25533562,1693,1
121000,20180966,631,0
121000,9885535,358,0
120000,25995872,241,0
120000,21314151,365,0
120000,18744298,785,0
119000,7721290,22,0
118000,11784239,311,0
118000,10692852,906,1
118000,8222196,700,0
118000,7071352,537,1
118000,3717655,228,0
117000,30257714,245,0
117000,22819638,808,1
117000,8859757,235,1
117000,7754996,440,1
117000,3607453,298,1
116000,15110538,211,0
116000,14354209,20,1
116000,10541116,60,0
116000,6843083,220,0
116000,1779374,121,0
115000,27715598,260,0
115000,20581014,906,0
115000,8265675,218,0
115000,2642958,37,0
114000,27532287,164,0
114000,12023030,612,1
114000,4238058,118,0
114000,2854837,141,0
114000,2498686,156,1
114000,772185,4,0
113000,25260888,826,0
113000,16905701,632,0
113000,7318423,387,1
113000,4197263,151,0
113000,3081627,190,1
112000,38086207,128,0
112000,9183361,311,0
112000,8649930,74,0
112000,8198465,98,1
112000,6038116,255,0
111000,57173479,188,0
111000,51270992,1587,0
111000,5597313,25,0
111000,4020823,352,0
110000,53441505,541,0
110000,32053007,69,0
110000,16837787,195,0
110000,10845190,269,0
110000,7551482,208,1
109000,25924355,348,0
109000,12395903,459,0
109000,927716,40,0
108000,23987326,528,1
108000,16818802,76,0
108000,16694217,137,1
108000,10927754,801,1
108000,9579174,97,1
107000,22501625,1209,1
107000,20878282,41,0
107000,8092766,223,0
107000,8051926,1105,0
107000,6081008,115,1
107000,4845241,171,1
107000,3071276,376,1
107000,7116,5,0
106000,12828995,1205,1
106000,9059885,116,0
106000,7113238,283,1
106000,5632175,120,1
106000,5026222,248,0
106000,3298009,236,1
105000,26681581,153,0
104000,8420967,187,1
104000,5704360,875,0
104000,3396905,308,1
103000,11942875,248,0
103000,7325924,150,1
103000,1216967,5,1
102000,19605890,490,0
102000,17991014,130,1
102000,10844318,420,0
102000,9947653,168,0
102000,5139587,995,0
102000,4197089,60,0
102000,3293181,258,1
101000,7665482,312,0
101000,7395569,351,0
101000,6618842,651,0
100000,13747379,893,1
100000,10525935,542,1
100000,9938299,57,1
100000,9072168,121,0
99700,2987806,4,1
99600,5209596,59,1
99500,72138607,441,1
99500,9029133,304,1
99400,8360521,135,1
99300,14242138,364,0
98900,8222827,413,0
98800,3664780,60,0
98700,795133,11,0
98600,9512813,965,0
98300,4376428,52,0
98000,12814764,417,0
98000,474146,129,1
97900,10910005,248,0
97600,12757024,375,0
97400,23824698,927,0
97200,7754512,110,1
96200,5512658,287,0
96100,12831280,531,1
96100,3918888,128,0
95900,10771712,43,0
95900,7967877,116,0
95800,8063068,381,1
95800,7019632,540,1
95700,8003976,439,0
95300,8984366,112,0
95000,15588033,204,0
95000,4514125,524,1
94800,17818992,638,0
94800,11468103,136,0
94800,5201607,475,0
94800,3188347,62,1
94500,6921610,69,1
94300,2100696,30,0
94100,6106063,379,1
93900,2946611,513,0
93700,4437718,69,1
93600,4069198,290,1
93400,4312856,344,1
93300,5132636,169,1
93100,5724754,677,1
92700,22176310,313,1
92600,4235392,42,1
92300,22774693,1156,1
92200,4031355,34,0
92100,598200,13,0
91600,9179730,139,0
91200,2711364,87,0
91000,23522731,423,0
91000,3302737,177,1
90900,9709163,1104,1
90800,3494224,466,0
90500,89881583,1505,0
90500,16801515,62,0
90300,17895609,192,1
89700,17004327,59,0
89500,8180511,857,0
89500,6435513,581,0
89500,5270952,494,1
89100,3477638,102,0
88800,9298300,317,0
88500,3936091,571,0
88500,1137779,39,0
87800,37082864,1216,0
87800,21023188,363,0
87800,6793558,570,0
87500,34959334,668,0
87400,4364465,542,1
87100,11360807,524,1
87000,4665320,90,0
86900,7919002,156,0
86800,44138690,1139,0
86600,41202603,589,0
86600,6842589,7,0
86500,2526206,86,0
86300,4591186,116,1
86200,49389456,1928,0
86000,11274303,67,0
86000,8680070,47,0
86000,1074359,8,0
85900,6617231,132,1
85800,8796980,293,0
85700,14575490,651,1
85700,8740678,204,0
85700,5896179,175,0
85700,4017577,82,0
85500,1316564,3,1
85400,23184325,1740,0
84900,5859137,583,1
84800,11410980,1453,1
84500,35356404,499,0
84500,28704995,1445,0
84500,13808204,75,0
84100,12480972,1354,1
83900,1864573,251,0
83700,6126838,172,0
83300,10750700,309,0
83300,1719673,96,1
83200,6973344,53,0
83200,530309,19,0
83100,8766775,228,0
83100,998332,216,0
83000,6988762,598,1
83000,316118,116,1
82900,5901607,177,1
82700,6620181,741,0
82700,3993986,95,0
82400,2515447,27,0
82200,3131162,58,0
82100,21808410,1614,0
82100,18606507,94,1
82000,4630624,429,1
81600,132152,5,0
80900,8448681,233,1
80400,5039452,508,1
80300,8297129,147,0
80000,4091466,91,0
79600,3908266,461,1
78900,5256537,58,1
78900,3760610,127,0
78600,7269978,9,1
78500,9946267,359,1
78400,12610917,481,1
78400,4459390,764,0
77900,5288315,581,0
77900,1936106,431,0
77800,21922609,713,0
77700,24571673,220,0
77600,3568511,149,1
77500,22306434,729,0
77400,7550192,61,1
77000,15301214,466,0
76900,14477337,24,0
76900,4782795,626,0
76800,18011859,157,0
76800,906042,95,0
76600,2072424,454,0
76500,2520118,634,1
76500,66800,15,0
76300,6238238,245,0
76200,3210298,71,1
76000,4789217,570,0
75600,4192,42,0
75400,1800176,34,0
75300,5904078,566,0
75300,2463184,388,0
75200,1209563,69,0
75100,8820590,290,0
75100,2667705,24,0
75000,9002732,205,0
74800,11304883,101,0
74700,48260231,1724,0
74700,21412372,1242,0
74600,3194497,123,0
74500,13969880,493,0
74200,19077424,818,0
74100,4069725,300,0
74000,5739973,485,0
74000,977572,3,0
73900,8702133,246,0
73900,3936941,352,1
73800,3061340,177,1
73800,2987578,139,0
73700,13978285,58,0
73600,5318084,124,0
73200,8739564,228,0
73000,16632819,236,0
72800,56794721,1591,0
72800,2185639,226,1
72700,2646814,74,0
72200,1867449,333,1
72100,7761830,367,0
72000,19732154,292,0
72000,2521363,139,0
71700,1787658,137,1
71600,36006278,518,0
71400,5133656,64,0
71300,3619028,10,0
71200,3267636,1352,0
71100,2937318,241,0
70500,1853849,45,1
70400,4299325,63,1
70400,2259397,355,1
70300,3033759,39,1
70100,6008425,213,0
70100,4271296,344,0
70100,2962246,71,0
70000,2111803,54,0
69800,5492072,1135,0
69700,2512506,97,0
69600,2541757,550,1
69500,2635253,144,0
69400,6576410,211,0
69400,5782811,126,0
69400,3666051,752,1
69400,1364962,181,1
69200,9909428,72,1
69100,3204275,74,0
69000,6263340,227,0
68400,6580354,293,1
68100,6747079,399,0
68100,3322831,12,0
68100,3172443,820,0
68100,1760558,458,0
68000,4604501,538,1
68000,4076635,156,1
67800,4961744,24,0
67600,14151706,54,0
67400,9298848,77,0
67300,6695297,598,0
67200,4245794,43,0
67200,3206948,599,1
66800,5236752,614,0
66700,31068921,94,0
66600,4805847,74,0
66500,5595645,476,0
66400,4706355,45,0
66200,11801702,152,0
66100,4434998,141,1
66000,6167866,110,0
65900,6014182,767,0
65800,24747263,1701,0
65800,4512607,282,0
65700,2001926,145,0
65400,2032706,567,0
65300,12295954,291,0
65300,341962,4,0
65200,2266163,529,0
65100,4812793,470,1
65100,3887120,586,0
65000,7767352,1112,0
65000,6011182,79,0
64800,10160785,77,0
64800,4929011,1018,0
64300,58026217,3463,0
64300,8220425,435,0
64200,3088723,190,0
64200,2244566,165,0
64100,21670149,475,0
64000,16146949,715,0
63900,11684338,70,0
63900,1828370,555,1
63800,39055640,773,0
63700,872660,14,0
63700,567822,21,0
63500,3527119,818,1
63100,11101212,961,1
63100,4764326,161,0
63000,30396029,322,1
63000,7676608,111,0
63000,5257513,721,0
62900,5515077,1075,0
62700,13944821,316,0
62700,10725528,385,0
62700,6901557,103,0
62700,5269625,518,1
62600,6240053,349,0
62600,4113279,218,1
62500,2303673,477,1
62500,2090815,499,0
62400,4481665,100,0
62400,4312298,397,1
62200,3564593,401,0
62100,15247937,207,0
62100,7511723,95,1
62000,10468557,128,0
62000,2816708,433,0
61800,8318815,717,0
61700,3870079,502,1
61300,1228439,59,0
61200,2982008,50,1
61100,6511124,31,0
61000,4424334,373,0
60900,13207616,38,0
60900,11503,10,0
60700,16915364,390,0
60700,3273045,214,1
60600,1357198,143,0
60500,13978629,305,0
60300,5234924,378,1
60300,3285238,283,1
60200,3010074,96,0
60100,21712964,605,0
60000,1523287,21,1
59800,4303059,13,0
59700,4600014,311,0
